original_name	detection_name	coarse_name	training_eligible	mapping_confidence	merge_basis	aliases
tergivelum baldwinae	acorn worm	acorn worm	yes	high	existing visually distinct group retained	Tergivelum baldwinae
chinese fire belly newt	amphibian	amphibian	yes	high	existing visually distinct group retained	Chinese fire belly newt
salamander	amphibian	amphibian	yes	high	existing visually distinct group retained	salamander
amphipoda	amphipod	amphipod	yes	high	existing visually distinct group retained	Amphipoda
caprellidae	amphipod	amphipod	yes	high	existing visually distinct group retained	Caprellidae
hyperiidae	amphipod	amphipod	yes	high	existing visually distinct group retained	Hyperiidae
phronima sedentaria	amphipod	amphipod	yes	high	existing visually distinct group retained	Phronima sedentaria
bicolor angelfish	angelfish	fish	yes	high	visual-name rule	Bicolor Angelfish;BicolorAngelfish
emperor angelfish	angelfish	fish	yes	high	visual-name rule	emperor angelfish;emperor angelfish displaying vibrant blue and;emperor angelfish displaying vivid blue and
french angelfish	angelfish	fish	yes	high	visual-name rule	French angelfish
holacanthus bermudensis	angelfish	fish	yes	high	visual-name rule	Holacanthus bermudensis
juvenile emperor angelfish	angelfish	fish	yes	high	visual-name rule	juvenile emperor angelfish;juvenile emperor angelfish displaying vibrant blue
juvenile french angelfish	angelfish	fish	yes	high	visual-name rule	juvenile French angelfish
pomacanthus arcuatus	angelfish	fish	yes	high	visual-name rule	Pomacanthus arcuatus
threespot angelfish	angelfish	fish	yes	high	visual-name rule	Threespot Angelfish;ThreespotAngelfish
vibrant emperor angelfish	angelfish	fish	yes	high	visual-name rule	vibrant emperor angelfish
vibrant queen angelfish	angelfish	fish	yes	high	visual-name rule	vibrant queen angelfish
anglerfish	anglerfish	fish	yes	high	visual-name rule	well-camouflaged anglerfish
chaenophryne	anglerfish	fish	yes	medium	taxonomy order: Lophiiformes	Chaenophryne
chaunacops coloratus	anglerfish	fish	yes	medium	taxonomy order: Lophiiformes	Chaunacops coloratus
gigantactis gargantua	anglerfish	fish	yes	medium	taxonomy order: Lophiiformes	Gigantactis gargantua
large anglerfish	anglerfish	fish	yes	high	visual-name rule	large anglerfish
lophiodes caulinaris	anglerfish	fish	yes	high	taxonomy family: Lophiidae	Lophiodes caulinaris
lophiodes miacanthus	anglerfish	fish	yes	high	taxonomy family: Lophiidae	Lophiodes miacanthus
melanocetus	anglerfish	fish	yes	medium	taxonomy order: Lophiiformes	Melanocetus
monkfish	anglerfish	fish	yes	high	visual-name rule	well-camouflaged monkfish
oneirodes acanthias	anglerfish	fish	yes	medium	taxonomy order: Lophiiformes	Oneirodes acanthias
yellow goosefish	anglerfish	fish	yes	high	visual-name rule	yellow goosefish
caecosagitta macrocephala	arrow worm	arrow worm	yes	high	existing visually distinct group retained	Caecosagitta macrocephala
chaetognatha	arrow worm	arrow worm	yes	high	existing visually distinct group retained	Chaetognatha
autonomous underwater vehicle (auv)	AUV	underwater vehicle	yes	high	autonomous underwater vehicle	Autonomous Underwater Vehicle (AUV)
auv	AUV	underwater vehicle	yes	high	autonomous underwater vehicle	AUV
yellow autonomous underwater vehicle (auv)	AUV	underwater vehicle	yes	high	autonomous underwater vehicle	yellow autonomous underwater vehicle (AUV)
barnacle	barnacle	barnacle	yes	high	existing visually distinct group retained	barnacle
cirripedia	barnacle	barnacle	yes	high	existing visually distinct group retained	Cirripedia
poecilasmatidae	barnacle	barnacle	yes	high	existing visually distinct group retained	Poecilasmatidae
barracuda	barracuda	fish	yes	high	visual-name rule	barracuda
large great barracuda	barracuda	fish	yes	high	visual-name rule	large great barracuda;large great barracuda hovering motionless
solitary great barracuda	barracuda	fish	yes	high	visual-name rule	solitary great barracuda
longfin batfish	batfish	fish	yes	high	visual-name rule	longfin batfish
obicular batfish	batfish	fish	yes	high	visual-name rule	ObicularBatfish
orbicular batfish	batfish	fish	yes	high	visual-name rule	Orbicular Batfish
red lipped batfish	batfish	fish	yes	high	visual-name rule	red-lipped batfish
bivalve	bivalve	bivalve	yes	high	existing visually distinct group retained	bivalve
bivalvia	bivalve	bivalve	yes	high	existing visually distinct group retained	Bivalvia
black musselcracker	bivalve	bivalve	yes	high	existing visually distinct group retained	black musselcracker
geoduck	bivalve	bivalve	yes	high	existing visually distinct group retained	Geoduck
giant clam	bivalve	bivalve	yes	high	existing visually distinct group retained	Giant Clams;GiantClams
vesicomya	bivalve	bivalve	yes	high	existing visually distinct group retained	Vesicomya
vesicomyidae	bivalve	bivalve	yes	high	existing visually distinct group retained	Vesicomyidae
alternatipathes	black coral	coral	yes	high	visual/taxonomic coral group	Alternatipathes
antipatharia	black coral	coral	yes	high	visual/taxonomic coral group	Antipatharia
bathypathes	black coral	coral	yes	high	visual/taxonomic coral group	Bathypathes
black coral	black coral	coral	yes	high	visual/taxonomic coral group	black coral
chrysopathes	black coral	coral	yes	high	visual/taxonomic coral group	Chrysopathes
chrysopathes speciosa	black coral	coral	yes	high	visual/taxonomic coral group	Chrysopathes speciosa
lillipathes	black coral	coral	yes	high	visual/taxonomic coral group	Lillipathes
stichopathes	black coral	coral	yes	high	visual/taxonomic coral group	Stichopathes
stichopathes spiessi	black coral	coral	yes	high	visual/taxonomic coral group	Stichopathes spiessi
trissopathes	black coral	coral	yes	high	visual/taxonomic coral group	Trissopathes
boxfish	boxfish	fish	yes	high	visual-name rule	boxfish
yellow boxfish	boxfish	fish	yes	high	visual-name rule	Yellow Boxfish;YellowBoxfish
brachiopoda	brachiopod	brachiopod	yes	high	existing visually distinct group retained	Brachiopoda
laqueus californicus	brachiopod	brachiopod	yes	high	existing visually distinct group retained	Laqueus californicus
asteronyx	brittle star	brittle star	yes	high	existing visually distinct group retained	Asteronyx
asteronyx longifissus	brittle star	brittle star	yes	high	existing visually distinct group retained	Asteronyx longifissus
euryalidae	brittle star	brittle star	yes	high	existing visually distinct group retained	Euryalidae
gorgonocephalus	brittle star	brittle star	yes	high	existing visually distinct group retained	Gorgonocephalus
gorgonocephalus eucnemis	brittle star	brittle star	yes	high	existing visually distinct group retained	Gorgonocephalus eucnemis
ophiacanthidae	brittle star	brittle star	yes	high	existing visually distinct group retained	Ophiacanthidae
ophiocreas oedipus	brittle star	brittle star	yes	high	existing visually distinct group retained	Ophiocreas oedipus
